name,radius,distance,atmosphere,P. Habitable Class,P. Disc. Method,P. Disc. Year,
GJ 676 A b,11.68,16.45,hydrogen-rich,non-habitable,Radial Velocity,2009,
GJ 676 A c,11.68,16.45,hydrogen-rich,non-habitable,Radial Velocity,2012,
GJ 676 A d,1.6,16.45,metals-rich,non-habitable,Radial Velocity,2012,
GJ 676 A e,3.86,16.45,metals-rich,non-habitable,Radial Velocity,2012,
GJ 682 b,1.6,5.08,metals-rich,non-habitable,Radial Velocity,2014,
GJ 682 c,1.92,5.08,hydrogen-rich,psychroplanet,Radial Velocity,2014,
GJ 687 b,4.53,4.5,metals-rich,non-habitable,Radial Velocity,2014,
GJ 758 b,9.5,15.5,hydrogen-rich,non-habitable,Imaging,2009,
GJ 785 b,4.4,8.91,metals-rich,non-habitable,Radial Velocity,2010,
GJ 785 c,4.95,8.91,hydrogen-rich,non-habitable,Radial Velocity,2011,
GJ 832 b,9.54,4.94,hydrogen-rich,non-habitable,Radial Velocity,2008,
GJ 832 c,1.69,4.94,metals-rich,mesoplanet,Radial Velocity,2014,
GJ 849 b,10.07,9.1,hydrogen-rich,non-habitable,Radial Velocity,2006,
GJ 849 c,9.77,9.1,hydrogen-rich,non-habitable,Radial Velocity,2013,
GJ 876 b,11.23,4.7,hydrogen-rich,non-habitable,Radial Velocity,2000,
GJ 876 c,9.98,4.7,hydrogen-rich,non-habitable,Radial Velocity,2000,
GJ 876 d,1.81,4.7,metals-rich,non-habitable,Radial Velocity,2005,
GJ 876 e,4.16,4.7,hydrogen-rich,non-habitable,Radial Velocity,2010,
GJ 1132 b,1.15,12.04,metals-rich,non-habitable,Primary Transit,2015,
GJ 1214 b,2.67,13,metals-rich,non-habitable,Primary Transit,2009,
GJ 3021 b,11.61,17.62,hydrogen-rich,non-habitable,Radial Velocity,2000,
GJ 3293 b,4.91,17.9,metals-rich,non-habitable,Radial Velocity,2014,
GJ 3293 c,4.73,17.9,hydrogen-rich,non-habitable,Other,2014,
GJ 3293 d,1.85,17.9,metals-rich,psychroplanet,Radial Velocity,2014,
GJ 3293 e,1.47,17.9,metals-rich,non-habitable,Radial Velocity,2017,
GJ 3323 b,1.28,5.32,metals-rich,mesoplanet,Radial Velocity,2017,
GJ 3323 c,1.34,5.32,metals-rich,non-habitable,Radial Velocity,2017,
GJ 3341 b,1.78,23.2,metals-rich,non-habitable,radial velocity,2014,
GJ 3470 b,4.19,29.28,metals-rich,non-habitable,Primary Transit,2012,
GJ 3634 b,1.89,19.8,metals-rich,non-habitable,Radial Velocity,2011,
GJ 3998 b,1.36,17.8,metals-rich,non-habitable,Radial Velocity,2016,
GJ 3998 c,1.76,17.8,metals-rich,non-habitable,Radial Velocity,2016,
GQ Lup b,20.16,140,hydrogen-rich,non-habitable,Imaging,2005,
GSC 6214-210 b,11.14,145,hydrogen-rich,non-habitable,Imaging,2010,
GU Psc b,15.12,48,hydrogen-rich,non-habitable,Imaging,2014,
HAT-47 b,14.71,268,metals-rich,non-habitable,Primary Transit,2016,
HAT-48 b,12.67,305,metals-rich,non-habitable,Primary Transit,2016,
HAT-P-1 b,14.77,139,metals-rich,non-habitable,Primary Transit,2006,
HAT-P-2 b,10.65,118,hydrogen-rich,non-habitable,Primary Transit,2007,
HAT-P-3 b,9.26,130,metals-rich,non-habitable,Primary Transit,2007,
HAT-P-4 b,14.22,310,metals-rich,non-habitable,Primary Transit,2007,
HAT-P-5 b,14.02,340,metals-rich,non-habitable,Primary Transit,2007,
HAT-P-6 b,14.9,200,metals-rich,non-habitable,Primary Transit,2007,
HAT-P-7 b,16.03,320,metals-rich,non-habitable,Primary Transit,2008,
HAT-P-8 b,16.8,230,metals-rich,non-habitable,Primary Transit,2008,
HAT-P-9 b,15.68,480,metals-rich,non-habitable,Primary Transit,2008,
HAT-P-11 b,4.73,38,metals-rich,non-habitable,Primary Transit,2009,
HAT-P-12 b,10.69,142.5,metals-rich,non-habitable,Primary Transit,2009,
HAT-P-13 b,14.34,214,metals-rich,non-habitable,Primary Transit,2009,
HAT-P-13 c,11.32,214,hydrogen-rich,non-habitable,Radial Velocity,2009,
HAT-P-14 b,13.44,205,hydrogen-rich,non-habitable,Primary Transit,2010,
HAT-P-15 b,12.01,190,hydrogen-rich,non-habitable,Primary Transit,2010,
HAT-P-16 b,14.44,235,hydrogen-rich,non-habitable,Primary Transit,2010,
HAT-P-17 b,11.31,90,hydrogen-rich,non-habitable,Primary Transit,2010,
HAT-P-17 c,10.82,90,hydrogen-rich,non-habitable,Radial Velocity,2010,
HAT-P-18 b,10.61,166,metals-rich,non-habitable,Primary Transit,2010,
HAT-P-19 b,12.68,215,metals-rich,non-habitable,Primary Transit,2010,
HAT-P-20 b,9.71,70,hydrogen-rich,non-habitable,Primary Transit,2010,
HAT-P-21 b,11.47,254,hydrogen-rich,non-habitable,Primary Transit,2010,
HAT-P-22 b,12.1,82,hydrogen-rich,non-habitable,Primary Transit,2010,
HAT-P-23 b,15.32,393,hydrogen-rich,non-habitable,Primary Transit,2010,
HAT-P-24 b,13.91,306,metals-rich,non-habitable,Primary Transit,2010,
HAT-P-25 b,13.33,297,metals-rich,non-habitable,Primary Transit,2010,
HAT-P-26 b,6.32,134,metals-rich,non-habitable,Primary Transit,2010,
HAT-P-27-WASP-40 b,11.82,204,metals-rich,non-habitable,Primary Transit,2011,
HAT-P-28 b,13.57,395,metals-rich,non-habitable,Primary Transit,2011,
HAT-P-29 b,12.4,322,metals-rich,non-habitable,Primary Transit,2011,
HAT-P-30-WASP-51 b,15.01,193,metals-rich,non-habitable,Primary Transit,2011,
HAT-P-31 b,11.98,354,hydrogen-rich,non-habitable,Primary Transit,2011,
HAT-P-32 b,22.81,320,metals-rich,non-habitable,Primary Transit,2011,
HAT-P-33 b,20.46,419,metals-rich,non-habitable,Primary Transit,2011,
HAT-P-34 b,12.4,257,hydrogen-rich,non-habitable,Primary Transit,2012,
HAT-P-35 b,14.92,535,metals-rich,non-habitable,Primary Transit,2012,
HAT-P-36 b,14.16,317,hydrogen-rich,non-habitable,Primary Transit,2012,
HAT-P-37 b,13.19,411,hydrogen-rich,non-habitable,Primary Transit,2012,
HAT-P-38 b,9.24,249,metals-rich,non-habitable,Primary Transit,2012,
HAT-P-39 b,17.6,642,metals-rich,non-habitable,Primary Transit,2012,
HAT-P-40 b,19.38,501,metals-rich,non-habitable,Primary Transit,2012,
HAT-P-41 b,18.87,344,metals-rich,non-habitable,Primary Transit,2012,
HAT-P-42 b,14.3,447,metals-rich,non-habitable,Primary Transit,2012,
HAT-P-43 b,14.37,543,metals-rich,non-habitable,Primary Transit,2012,
HAT-P-44 b,14.34,374,metals-rich,non-habitable,Primary Transit,2013,
HAT-P-44 c,11,374,hydrogen-rich,non-habitable,Primary Transit,2013,
HAT-P-45 b,15.97,305,metals-rich,non-habitable,Primary Transit,2013,
HAT-P-46 b,14.38,296,metals-rich,non-habitable,Primary Transit,2013,
HAT-P-46 c,11.26,296,hydrogen-rich,non-habitable,Primary Transit,2013,
HAT-P-49 b,15.83,322,metals-rich,non-habitable,Primary Transit,2014,
HAT-P-50 b,14.43,597,metals-rich,non-habitable,Primary Transit,2015,
HAT-P-51 b,14.48,470,metals-rich,non-habitable,Primary Transit,2015,
HAT-P-52 b,11.3,385,hydrogen-rich,non-habitable,Primary Transit,2015,
HAT-P-53 b,14.76,719,metals-rich,non-habitable,Primary Transit,2015,
HAT-P-54 b,10.57,135.8,hydrogen-rich,non-habitable,Primary Transit,2014,
HAT-P-55 b,13.24,480,metals-rich,non-habitable,Primary Transit,2015,
HAT-P-56 b,16.42,310.5,hydrogen-rich,non-habitable,Primary Transit,2015,
HAT-P-57 b,15.83,303,metals-rich,non-habitable,Primary Transit,2015,
HAT-P-65 b,21.17,841,metals-rich,non-habitable,Primary Transit,2016,
HAT-P-66 b,17.81,927,metals-rich,non-habitable,Primary Transit,2016,
HAT-P-67 b,23.35,320,metals-rich,non-habitable,Primary Transit,2017,
HATS-1 b,14.58,303,hydrogen-rich,non-habitable,Primary Transit,2012,
HATS-2 b,13.08,360,hydrogen-rich,non-habitable,Primary Transit,2013,
HATS-3 b,15.47,453,metals-rich,non-habitable,Primary Transit,2013,
HATS-4 b,11.42,420,hydrogen-rich,non-habitable,Primary Transit,2014,
HATS-5 b,10.21,257,metals-rich,non-habitable,Primary Transit,2014,
HATS-6 b,11.18,148.4,metals-rich,non-habitable,Primary Transit,2014,
HATS-7 b,6.31,257,metals-rich,non-habitable,Primary Transit,2015,
HATS-8 b,9.78,829,metals-rich,non-habitable,Primary Transit,2015,
HATS-9 b,11.93,622,metals-rich,non-habitable,Primary Transit,2015,
HATS-10 b,10.85,496,metals-rich,non-habitable,Primary Transit,2015,
HATS-11 b,16.91,906,metals-rich,non-habitable,Primary Transit,2016,
HATS-12 b,15.12,981,hydrogen-rich,non-habitable,Primary Transit,2016,
HATS-13 b,13.57,476,metals-rich,non-habitable,Primary Transit,2015,
HATS-14 b,11.64,513,hydrogen-rich,non-habitable,Primary Transit,2015,
HATS-15 b,12.38,689,hydrogen-rich,non-habitable,Primary Transit,2014,
HATS-16 b,14.56,774,hydrogen-rich,non-habitable,Primary Transit,2015,
HATS-17 b,8.7,339,hydrogen-rich,non-habitable,Primary Transit,2016,
HATS-18 b,14.97,645,hydrogen-rich,non-habitable,Primary Transit,2016,
HATS-19 b,18.59,780,metals-rich,non-habitable,Primary Transit,2016,
HATS-20 b,8.69,454,metals-rich,non-habitable,Primary Transit,2016,
HATS-21 b,12.58,286,metals-rich,non-habitable,Primary Transit,2016,
HATS-22 b,10.67,207.9,hydrogen-rich,non-habitable,Primary Transit,2016,
HATS-23 b,20.83,747,metals-rich,non-habitable,Primary Transit,2015,
HATS-24 b,16.65,510,hydrogen-rich,non-habitable,Primary Transit,2016,
HATS-25 b,14.11,466,metals-rich,non-habitable,Primary Transit,2016,
HATS-26 b,19.6,907,metals-rich,non-habitable,Primary Transit,2016,
HATS-27 b,16.8,840,metals-rich,non-habitable,Primary Transit,2016,
HATS-28 b,13.37,521,metals-rich,non-habitable,Primary Transit,2016,
HATS-29 b,14.01,351,metals-rich,non-habitable,Primary Transit,2016,
HATS-30 b,13.16,339,metals-rich,non-habitable,Primary Transit,2016,
HATS-31 b,18.37,872,metals-rich,non-habitable,Primary Transit,2016,
HATS-32 b,13.99,839,metals-rich,non-habitable,Primary Transit,2016,
HATS-33 b,13.78,355,hydrogen-rich,non-habitable,Primary Transit,2016,
HATS-34 b,16.02,532,metals-rich,non-habitable,Primary Transit,2016,
HATS-35 b,16.4,557,metals-rich,non-habitable,Primary Transit,2016,
HD 142 b,10.65,20.6,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 142 c,11.68,20.6,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 564 b,7.9,54,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 1461 b,1.77,23.4,metals-rich,non-habitable,Radial Velocity,2009,
HD 1461 c,1.71,23.4,metals-rich,non-habitable,Radial Velocity,2011,
HD 1502 b,11.58,159,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 1605 b,10.19,84.6,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 1605 c,11.62,84.6,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 1666 b,11.68,110.6,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 1690 b,11.68,319,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 2039 b,11.68,89.8,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 2638 b,11.65,53.71,metals-rich,non-habitable,Radial Velocity,2005,
HD 2952 b,11,115.2,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 3167 b,1.59,45.8,metals-rich,non-habitable,Primary Transit,2016,
HD 3167 c,2.89,45.8,metals-rich,non-habitable,Primary Transit,2016,
HD 3651 b,7.11,11,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 3651 c,5.24,11,metals-rich,non-habitable,Radial Velocity,2013,
HD 4113 b,10.97,44,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 4203 b,11.16,77.5,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 4203 c,11.34,77.5,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 4208 b,9.85,33.9,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 4308 b,4.01,21.9,metals-rich,non-habitable,Radial Velocity,2005,
HD 4313 b,11.39,137,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 4732 b,11.41,56.5,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 4732 c,11.41,56.5,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 4747 b,8.87,18.69,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 5319 b,11.23,100,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 5319 c,10.51,100,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 5583 b,11.68,221,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 5608 b,10.82,58.2,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 5891 b,11.66,251,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 6434 b,8.28,40.32,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 6718 b,10.97,55.9,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 7199 b,7.61,36,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 7449 b,10.45,39,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 7449 c,11.26,39,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 7924 b,11.76,16.8,no-atmosphere,non-habitable,Radial Velocity,2009,
HD 7924 c,1.87,16.8,metals-rich,non-habitable,Radial Velocity,2015,
HD 7924 d,1.77,16.8,metals-rich,non-habitable,Radial Velocity,2015,
HD 8535 b,9.51,52.5,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 8574 b,11.31,44.2,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 8673 b,11.33,38.25,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 9174 b,10.45,78.93,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 9446 b,9.57,53,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 9446 c,11.16,53,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 9578 b,9.31,57.24,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 10180 c,4.04,39.4,metals-rich,non-habitable,Radial Velocity,2010,
HD 10180 d,3.89,39.4,metals-rich,non-habitable,Radial Velocity,2010,
