name,zone,P. Mass Class,atmosphere,habitable,radius,S. Constellation,distance,P. Disc. Method,P. Disc. Year
GJ 3021 b,Hot,Jovian,hydrogen-rich,non-habitable,11.61,Hyi,17.62,Radial Velocity,2000
HD 189567 b,Hot,Superterran,metals-rich,non-habitable,3.7,Pav,17.7,Radial Velocity,2011
GJ 3998 b,Hot,Terran,metals-rich,non-habitable,1.36,Oph,17.8,Radial Velocity,2016
GJ 3998 c,Hot,Superterran,metals-rich,non-habitable,1.76,Oph,17.8,Radial Velocity,2016
HD 154088 b,Hot,Superterran,metals-rich,non-habitable,1.75,Oph,17.8,Radial Velocity,2011
GJ 3293 b,Warm,Neptunian,metals-rich,non-habitable,4.91,Eri,17.9,Radial Velocity,2014
GJ 3293 c,Cold,Neptunian,hydrogen-rich,non-habitable,4.73,Eri,17.9,Other,2014
GJ 3293 d,Warm,Superterran,metals-rich,psychroplanet,1.85,Eri,17.9,Radial Velocity,2014
GJ 3293 e,Hot,Terran,metals-rich,non-habitable,1.47,Eri,17.9,Radial Velocity,2017
HD 99492 b,Hot,Neptunian,metals-rich,non-habitable,5.02,Leo,18,Radial Velocity,2004
HD 154345 b,Cold,Jovian,hydrogen-rich,non-habitable,10.71,Her,18.06,Radial Velocity,2006
14 Her b,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Her,18.1,Radial Velocity,2002
HD 27442 b,Hot,Jovian,hydrogen-rich,non-habitable,10.77,Ret,18.1,Radial Velocity,2000
HD 87883 b,Cold,Jovian,,non-habitable,,LMi,18.1,Radial Velocity,2009
HD 39091 b,Warm,Jovian,hydrogen-rich,non-habitable,11.55,Men,18.32,Radial Velocity,2001
HN Peg b,Cold,Jovian,hydrogen-rich,non-habitable,12.32,Peg,18.4,Imaging,2007
HD 4747 b,Cold,Jovian,hydrogen-rich,non-habitable,8.87,Cet,18.69,Radial Velocity,2016
WISE 1711+3500 b,Cold,Jovian,hydrogen-rich,non-habitable,11.08,Her,19,Imaging,2012
SDSS J1110+0116 b,,Jovian,,non-habitable,13.22,Leo,19.19,Imaging,2015
WD 0806-661 B b,Cold,Jovian,hydrogen-rich,non-habitable,11.65,Vol,19.2,Imaging,2011
beta Pic b,Cold,Jovian,hydrogen-rich,non-habitable,18.48,Pic,19.3,Imaging,2008
HD 189733 b,Hot,Jovian,hydrogen-rich,non-habitable,12.75,Vul,19.3,Primary Transit,2005
HD 217107 b,Hot,Jovian,hydrogen-rich,non-habitable,10.74,Psc,19.72,Radial Velocity,1998
HD 217107 c,Cold,Jovian,hydrogen-rich,non-habitable,11.45,Psc,19.72,Radial Velocity,1998
7 CMa b,Warm,Jovian,hydrogen-rich,non-habitable,11.44,CMa,19.75,Radial Velocity,2011
GJ 328 b,Cold,Jovian,hydrogen-rich,non-habitable,11.39,Hya,19.8,Radial Velocity,2013
GJ 3634 b,Hot,Superterran,metals-rich,non-habitable,1.89,Hya,19.8,Radial Velocity,2011
HD 192263 b,Hot,Jovian,hydrogen-rich,non-habitable,9.67,Aql,19.9,Radial Velocity,1999
BD-06 1339 b,Hot,Superterran,metals-rich,non-habitable,1.91,Ori,20,Radial Velocity,2013
BD-06 1339 c,Hot,Jovian,hydrogen-rich,non-habitable,6.46,Ori,20,Radial Velocity,2013
BD-06 1339 d,Warm,Neptunian,hydrogen-rich,non-habitable,5.26,Ori,20,Radial Velocity,2014
alf Ari b,Hot,Jovian,hydrogen-rich,non-habitable,11.15,Ari,20.2,Radial Velocity,2011
HD 114783 b,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Vir,20.4,Radial Velocity,2001
Aldebaran b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Tau,20.43,Radial Velocity,1998
HD 142 b,Warm,Jovian,hydrogen-rich,non-habitable,10.65,Phe,20.6,Radial Velocity,2001
HD 142 c,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Phe,20.6,Radial Velocity,2012
HD 114613 b,Cold,Jovian,hydrogen-rich,non-habitable,8.75,Cen,20.67,Radial Velocity,2014
DE0823-49 b,Cold,Jovian,hydrogen-rich,non-habitable,10.21,Vel,20.69,Imaging,2013
HD 104067 b,Hot,Jovian,hydrogen-rich,non-habitable,6.65,Crv,20.8,Radial Velocity,2009
HD 33564 b,Warm,Jovian,hydrogen-rich,non-habitable,11.61,Cam,20.98,Radial Velocity,2005
HD 97658 b,Hot,Superterran,metals-rich,non-habitable,2.25,Leo,21.1,Primary Transit,2010
HD 210277 b,Warm,Jovian,hydrogen-rich,non-habitable,10.62,Aqr,21.29,Radial Velocity,1998
CD-35 2722 b,Cold,Jovian,hydrogen-rich,non-habitable,10.24,Col,21.3,Imaging,2011
16 Cyg B b,Cold,Jovian,hydrogen-rich,non-habitable,11.06,Cyg,21.41,Radial Velocity,1996
HD 215152 b,Hot,Terran,metals-rich,non-habitable,1.41,Aqr,21.5,Radial Velocity,2011
HD 215152 c,Hot,Terran,metals-rich,non-habitable,1.45,Aqr,21.5,Radial Velocity,2011
HD 4308 b,Hot,Neptunian,metals-rich,non-habitable,4.01,Tuc,21.9,Radial Velocity,2005
HD 45184 b,Hot,Neptunian,metals-rich,non-habitable,4,CMa,21.9,Radial Velocity,2011
70 Vir b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Vir,22,Radial Velocity,1996
HD 164922 b,Cold,Jovian,hydrogen-rich,non-habitable,7.96,Her,22.13,Radial Velocity,2006
HD 164922 c,Hot,Neptunian,metals-rich,non-habitable,4.02,Her,22.13,Radial Velocity,2016
HD 162004 b,Cold,Jovian,hydrogen-rich,non-habitable,10.94,Dra,22.16,Radial Velocity,2015
HD 134987 b,Hot,Jovian,hydrogen-rich,non-habitable,10.99,Lib,22.2,Radial Velocity,1999
HD 134987 c,Cold,Jovian,hydrogen-rich,non-habitable,9.89,Lib,22.2,Radial Velocity,2009
HD 19994 b,Hot,Jovian,hydrogen-rich,non-habitable,11.06,Cet,22.38,Radial Velocity,2003
NLTT 41135 b,Hot,Jovian,hydrogen-rich,non-habitable,12.66,Ser,22.7,Primary Transit,2010
HIP 12961 b,Hot,Jovian,hydrogen-rich,non-habitable,8.04,Eri,23,Radial Velocity,2009
GJ 160.2 b,Hot,Neptunian,metals-rich,non-habitable,3.72,Eri,23.12,Radial Velocity,2014
GJ 3341 b,Hot,Superterran,metals-rich,non-habitable,1.78,Col,23.2,radial velocity,2014
HD 1461 b,Hot,Superterran,metals-rich,non-habitable,1.77,Cet,23.4,Radial Velocity,2009
HD 1461 c,Hot,Superterran,metals-rich,non-habitable,1.71,Cet,23.4,Radial Velocity,2011
HD 42618 b,Hot,Neptunian,metals-rich,non-habitable,4.17,Ori,23.5,Radial Velocity,2016
GJ 27.1 b,Hot,Neptunian,metals-rich,non-habitable,4.03,Phe,23.99,Radial Velocity,2014
HIP 70849 b,Cold,Jovian,hydrogen-rich,non-habitable,11.61,Lup,24,Radial Velocity,2009
HD 134060 b,Hot,Neptunian,metals-rich,non-habitable,3.83,Cir,24.2,Radial Velocity,2011
HD 134060 c,Cold,Neptunian,hydrogen-rich,non-habitable,6.21,Cir,24.2,Radial Velocity,2011
HD 156668 b,Hot,Terran,metals-rich,non-habitable,1.58,Her,24.5,Radial Velocity,2010
2M J2126-81 b,Cold,Jovian,hydrogen-rich,non-habitable,11.38,Oct,24.75,Imaging,2016
2M 2140+16 b,Cold,Jovian,hydrogen-rich,non-habitable,10.3,Peg,25,Imaging,2010
TWA 5 A(AB) b,Cold,Jovian,hydrogen-rich,non-habitable,10.61,Hya,25,Imaging,2009
BD+20 1790 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Gem,25.4,Other,2009
HD 16417 b,Hot,Neptunian,metals-rich,non-habitable,4.8,For,25.5,Radial Velocity,2009
HD 96700 b,Hot,Superterran,metals-rich,non-habitable,1.93,Hya,25.6,Radial Velocity,2011
HD 96700 c,Hot,Neptunian,metals-rich,non-habitable,4,Hya,25.6,Radial Velocity,2011
HD 60532 b,Hot,Jovian,hydrogen-rich,non-habitable,11.6,Pup,25.7,Radial Velocity,2008
HD 60532 c,Hot,Jovian,hydrogen-rich,non-habitable,10.82,Pup,25.7,Radial Velocity,2008
HD 39194 b,Hot,Terran,metals-rich,non-habitable,1.53,Men,25.9,Radial Velocity,2011
HD 39194 c,Hot,Superterran,metals-rich,non-habitable,1.74,Men,25.9,Radial Velocity,2011
HD 39194 d,Hot,Superterran,metals-rich,non-habitable,1.67,Men,25.9,Radial Velocity,2011
HIP 57274 b,Hot,Neptunian,metals-rich,non-habitable,3.86,UMa,25.92,Radial Velocity,2011
HIP 57274 c,Hot,Jovian,hydrogen-rich,non-habitable,8.4,UMa,25.92,Radial Velocity,2011
HIP 57274 d,Cold,Jovian,hydrogen-rich,non-habitable,8.96,UMa,25.92,Radial Velocity,2011
HD 128356 b,Warm,Jovian,hydrogen-rich,non-habitable,10.05,Hya,26.03,Radial Velocity,2016
HD 181433 b,Hot,Superterran,metals-rich,non-habitable,1.85,Pav,26.15,Radial Velocity,2008
HD 181433 c,Cold,Jovian,hydrogen-rich,non-habitable,9.38,Pav,26.15,Radial Velocity,2008
HD 181433 d,Cold,Jovian,hydrogen-rich,non-habitable,9.01,Pav,26.15,Radial Velocity,2008
HD 30562 b,Warm,Jovian,hydrogen-rich,non-habitable,10.7,Eri,26.5,Radial Velocity,2009
HD 134606 b,Hot,Superterran,metals-rich,non-habitable,1.95,Aps,26.5,Radial Velocity,2011
HD 134606 c,Hot,Neptunian,metals-rich,non-habitable,3.94,Aps,26.5,Radial Velocity,2011
HD 134606 d,Warm,Neptunian,hydrogen-rich,non-habitable,5.78,Aps,26.5,Radial Velocity,2011
HD 216437 b,Cold,Jovian,hydrogen-rich,non-habitable,11.16,Ind,26.5,Radial Velocity,2002
2M 2206-20 b,Cold,Jovian,hydrogen-rich,non-habitable,14.56,Aqr,26.67,Imaging,2010
HD 20367 b,Warm,Jovian,hydrogen-rich,non-habitable,10.39,Ari,27,Radial Velocity,2002
HD 179949 b,Hot,Jovian,metals-rich,non-habitable,11.76,Sgr,27,Radial Velocity,2000
HD 204941 b,Cold,Jovian,hydrogen-rich,non-habitable,7.42,Cap,27,Radial Velocity,2011
HD 150706 b,Cold,Jovian,hydrogen-rich,non-habitable,11.5,UMi,27.2,Radial Velocity,2002
BD-11 4672 b,Cold,Jovian,hydrogen-rich,non-habitable,8.97,Sct,27.3,Radial Velocity,2010
HD 180777 b,Hot,Jovian,hydrogen-rich,non-habitable,10.61,Dra,27.3,Radial Velocity,2006
HD 125595 b,Hot,Neptunian,metals-rich,non-habitable,4.06,Cen,27.4,Radial Velocity,2009
HD 82943 b,Warm,Jovian,hydrogen-rich,non-habitable,11.34,Hya,27.46,Radial Velocity,2003
HD 82943 c,Hot,Jovian,hydrogen-rich,non-habitable,11.32,Hya,27.46,Radial Velocity,2003
HD 82943 d,Cold,Jovian,hydrogen-rich,non-habitable,7.61,Hya,27.46,Radial Velocity,2013
HD 52265 b,Hot,Jovian,hydrogen-rich,non-habitable,10.36,Mon,28,Radial Velocity,2000
HD 52265 c,Hot,Jovian,hydrogen-rich,non-habitable,8.04,Mon,28,Radial Velocity,2013
HD 114386 b,Cold,Jovian,hydrogen-rich,non-habitable,10.64,Cen,28,Radial Velocity,2003
HD 114386 c,Cold,Jovian,hydrogen-rich,non-habitable,10.57,Cen,28,Radial Velocity,2011
HD 13808 b,Hot,Neptunian,metals-rich,non-habitable,3.73,Eri,28.6,Radial Velocity,2011
HD 13808 c,Hot,Neptunian,metals-rich,non-habitable,3.86,Eri,28.6,Radial Velocity,2011
HD 70642 b,Cold,Jovian,hydrogen-rich,non-habitable,11.26,Pup,28.8,Radial Velocity,2003
HD 93083 b,Hot,Jovian,hydrogen-rich,non-habitable,8.16,Ant,28.9,Radial Velocity,2005
HD 164595 b,Hot,Neptunian,metals-rich,non-habitable,4.35,Her,28.93,Radial Velocity,2015
HD 75289 b,Hot,Jovian,metals-rich,non-habitable,11.54,Vel,28.94,Radial Velocity,1999
HD 102195 b,Hot,Jovian,metals-rich,non-habitable,8.61,Vir,28.98,Radial Velocity,2005
HD 111232 b,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Mus,29,Radial Velocity,2004
GJ 3470 b,Hot,Neptunian,metals-rich,non-habitable,4.19,Cnc,29.28,Primary Transit,2012
HD 219077 b,Cold,Jovian,hydrogen-rich,non-habitable,11.55,Tuc,29.35,Radial Velocity,2012
51 Eri b,Cold,Jovian,hydrogen-rich,non-habitable,12.43,Eri,29.4,Imaging,2015
HD 150433 b,Cold,Jovian,hydrogen-rich,non-habitable,6.43,Oph,29.6,Radial Velocity,2011
HD 218566 b,Warm,Jovian,hydrogen-rich,non-habitable,6.9,Psc,29.94,Radial Velocity,2010
HD 130322 b,Hot,Jovian,hydrogen-rich,non-habitable,10.36,Vir,30,Radial Velocity,1999
GJ 9827 b,Hot,Terran,metals-rich,non-habitable,1.64,Psc,30.3,Primary Transit,2017
GJ 9827 c,Hot,Terran,metals-rich,non-habitable,1.29,Psc,30.3,Primary Transit,2017
GJ 9827 d,Hot,Superterran,metals-rich,non-habitable,2.08,Psc,30.3,Primary Transit,2017
HD 101930 b,Hot,Jovian,hydrogen-rich,non-habitable,7.69,Cen,30.49,Radial Velocity,2005
beta Cir b,Cold,Jovian,hydrogen-rich,non-habitable,9.03,Cir,30.56,Imaging,2015
HD 29021 b,Cold,Jovian,hydrogen-rich,non-habitable,11.42,Cam,30.6,Radial Velocity,2017
HD 19467 b,Cold,Jovian,hydrogen-rich,non-habitable,9.2,Eri,30.86,Imaging,2016
HD 89307 b,Cold,Jovian,hydrogen-rich,non-habitable,11.26,Leo,30.9,Radial Velocity,2004
HD 50554 b,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Gem,31.03,Radial Velocity,2002
kappa CrB b,Hot,Jovian,hydrogen-rich,non-habitable,11,CrB,31.1,Radial Velocity,2007
HD 162020 b,Hot,Jovian,hydrogen-rich,non-habitable,11.32,Sco,31.26,Radial Velocity,2002
HIP 75458 b,Hot,Jovian,hydrogen-rich,non-habitable,11.6,Dra,31.5,Radial Velocity,2002
HD 77065 b,Warm,Jovian,hydrogen-rich,non-habitable,9.7,Cnc,31.7,Radial Velocity,2016
HD 22781 b,Cold,Jovian,hydrogen-rich,non-habitable,11.36,Per,31.79,Radial Velocity,2011
CFBDS 1458 b,Cold,Jovian,hydrogen-rich,non-habitable,11.54,Boo,31.9,Imaging,2011
HD 157172 b,Hot,Neptunian,metals-rich,non-habitable,5.77,Oph,31.9,Radial Velocity,2011
HD 21693 b,Hot,Neptunian,metals-rich,non-habitable,3.72,Ret,32.4,Radial Velocity,2011
HD 21693 c,Hot,Neptunian,metals-rich,non-habitable,4.69,Ret,32.4,Radial Velocity,2011
HD 10697 b,Warm,Jovian,hydrogen-rich,non-habitable,11.68,Psc,32.56,Radial Velocity,2000
HD 81040 b,Cold,Jovian,hydrogen-rich,non-habitable,11.67,Leo,32.56,Radial Velocity,2005
HD 45364 b,Warm,Jovian,hydrogen-rich,non-habitable,6.66,CMa,32.6,Radial Velocity,2009
HD 45364 c,Warm,Jovian,hydrogen-rich,non-habitable,9.44,CMa,32.6,Radial Velocity,2009
HD 63765 b,Warm,Jovian,hydrogen-rich,non-habitable,9.38,Car,32.6,Radial Velocity,2009
HD 92788 b,Warm,Jovian,hydrogen-rich,non-habitable,10.44,Sex,32.82,Radial Velocity,2000
HD 92788 c,Hot,Jovian,hydrogen-rich,non-habitable,10.07,Sex,32.82,Radial Velocity,2013
HD 37124 b,Hot,Jovian,hydrogen-rich,non-habitable,9.49,Tau,33,Radial Velocity,1999
HD 37124 c,Cold,Jovian,hydrogen-rich,non-habitable,9.42,Tau,33,Radial Velocity,2005
HD 37124 d,Cold,Jovian,hydrogen-rich,non-habitable,9.56,Tau,33,Radial Velocity,2003
HD 117207 b,Cold,Jovian,hydrogen-rich,non-habitable,11.29,Cen,33,Radial Velocity,2004
HD 196885 A b,Warm,Jovian,hydrogen-rich,non-habitable,11.56,Del,33,Radial Velocity,2007
HD 197037 b,Warm,Jovian,hydrogen-rich,non-habitable,9.82,Cyg,33,Radial Velocity,2012
HD 40979 b,Hot,Jovian,hydrogen-rich,non-habitable,11.66,Aur,33.3,Radial Velocity,2002
HD 216435 b,Warm,Jovian,hydrogen-rich,non-habitable,10.66,Gru,33.3,Radial Velocity,2002
HD 46375 b,Hot,Jovian,metals-rich,non-habitable,11.42,Mon,33.4,Radial Velocity,2000
HD 141937 b,Warm,Jovian,hydrogen-rich,non-habitable,11.58,Lib,33.46,Radial Velocity,2002
HR 2562 b,Cold,Jovian,hydrogen-rich,non-habitable,10.3,Pic,33.63,Imaging,2016
HD 4208 b,Cold,Jovian,hydrogen-rich,non-habitable,9.85,Scl,33.9,Radial Velocity,2001
HD 85390 b,Cold,Neptunian,hydrogen-rich,non-habitable,5.95,Vel,33.96,Radial Velocity,2009
HD 85390 c,Cold,Jovian,hydrogen-rich,non-habitable,6.8,Vel,33.96,Radial Velocity,2013
HD 11964 b,Warm,Jovian,hydrogen-rich,non-habitable,9.32,Cet,33.98,Radial Velocity,2005
HD 11964 c,Hot,Neptunian,metals-rich,non-habitable,5.02,Cet,33.98,Radial Velocity,2005
K2-18 b,Warm,Superterran,hydrogen-rich,mesoplanet,2.24,Leo,34,Transit,2016
K2-18 c,Hot,Superterran,metals-rich,non-habitable,1.84,Leo,34,Radial Velocity,2017
HD 142415 b,Warm,Jovian,hydrogen-rich,non-habitable,11.02,Nor,34.2,Radial Velocity,2003
HD 65216 b,Warm,Jovian,hydrogen-rich,non-habitable,10.66,Car,34.3,Radial Velocity,2003
HD 65216 c,Hot,Jovian,hydrogen-rich,non-habitable,6.46,Car,34.3,Radial Velocity,2011
BD-17 63 b,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Cet,34.6,Radial Velocity,2008
HD 23079 b,Warm,Jovian,hydrogen-rich,non-habitable,11.44,Ret,34.8,Radial Velocity,2001
HD 51608 b,Hot,Neptunian,metals-rich,non-habitable,4.04,Car,34.8,Radial Velocity,2011
HD 51608 c,Hot,Neptunian,metals-rich,non-habitable,4.49,Car,34.8,Radial Velocity,2011
HD 114729 b,Warm,Jovian,hydrogen-rich,non-habitable,9.94,Cen,35,Radial Velocity,2002
HD 106515 A b,Cold,Jovian,hydrogen-rich,non-habitable,11.59,Vir,35.2,Radial Velocity,2011
HD 20781 b,Hot,Neptunian,metals-rich,non-habitable,3.93,For,35.4,Radial Velocity,2011
HD 20781 c,Hot,Neptunian,metals-rich,non-habitable,4.3,For,35.4,Radial Velocity,2011
HD 63454 b,Hot,Jovian,metals-rich,non-habitable,11.87,Cha,35.8,Radial Velocity,2005
HD 142022 A b,Cold,Jovian,hydrogen-rich,non-habitable,10.36,Oct,35.87,Radial Velocity,2005
HD 16141 b,Hot,Jovian,hydrogen-rich,non-habitable,6.95,Cet,35.9,Radial Velocity,2000
