name,zone,P. Mass Class,atmosphere,habitable,radius,S. Constellation,distance,P. Disc. Method,P. Disc. Year
HIP 67851 b,Hot,Jovian,hydrogen-rich,non-habitable,10.8,Cen,65.96,Radial Velocity,2014
HIP 67851 c,Warm,Jovian,hydrogen-rich,non-habitable,11.68,Cen,65.96,Radial Velocity,2015
BD-10 3166 b,Hot,Jovian,metals-rich,non-habitable,11.54,Crt,66,Radial Velocity,2000
Kepler-37 b,Hot,Mercurian,no-atmosphere,non-habitable,0.32,Lyr,66,Primary Transit,2013
Kepler-37 c,Hot,Subterran,no-atmosphere,non-habitable,0.75,Lyr,66,Primary Transit,2013
Kepler-37 d,Hot,Superterran,metals-rich,non-habitable,1.94,Lyr,66,Primary Transit,2013
HD 190228 b,Warm,Jovian,,non-habitable,,Vul,66.11,Radial Velocity,2002
HD 11977 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Hyi,66.5,Radial Velocity,2005
Kepler-409 b,Hot,Terran,hydrogen-rich,non-habitable,1.19,Cyg,66.8,Primary Transit,2013
HD 192699 b,Hot,Jovian,hydrogen-rich,non-habitable,11.45,Aql,67,Radial Velocity,2007
HD 175167 b,Cold,Jovian,hydrogen-rich,non-habitable,11.65,Pav,67.02,Radial Velocity,2010
HD 129445 b,Cold,Jovian,hydrogen-rich,non-habitable,11,Cir,67.61,Radial Velocity,2010
eps CrB b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,CrB,67.9,Radial Velocity,2012
HD 200964 b,Hot,Jovian,hydrogen-rich,non-habitable,11.18,Equ,68.4,Radial Velocity,2010
HD 200964 c,Hot,Jovian,hydrogen-rich,non-habitable,10.06,Equ,68.4,Radial Velocity,2010
HD 108874 b,Warm,Jovian,hydrogen-rich,non-habitable,10.78,Com,68.5,Radial Velocity,2003
HD 108874 c,Cold,Jovian,hydrogen-rich,non-habitable,10.3,Com,68.5,Radial Velocity,2005
HD 75784 b,Hot,Jovian,hydrogen-rich,non-habitable,10.51,Cnc,68.7,Primary Transit,2014
HD 75784 c,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Cnc,68.7,Primary Transit,2015
HD 163607 b,Hot,Jovian,hydrogen-rich,non-habitable,9.77,Dra,69,Radial Velocity,2011
HD 163607 c,Warm,Jovian,hydrogen-rich,non-habitable,11.38,Dra,69,Radial Velocity,2011
HD 159243 b,Hot,Jovian,hydrogen-rich,non-habitable,10.48,Oph,69.2,Radial Velocity,2013
HD 159243 c,Hot,Jovian,hydrogen-rich,non-habitable,11.21,Oph,69.2,Radial Velocity,2013
Kepler 1651 A b,Hot,Superterran,metals-rich,non-habitable,1.84,Dra,69.4,Primary Transit,2017
HAT-P-20 b,Hot,Jovian,hydrogen-rich,non-habitable,9.71,Gem,70,Primary Transit,2010
HD 132406 b,Warm,Jovian,hydrogen-rich,non-habitable,11.68,Boo,71,Radial Velocity,2007
HD 13908 b,Hot,Jovian,hydrogen-rich,non-habitable,10,Cas,71.2,Radial Velocity,2013
HD 13908 c,Warm,Jovian,hydrogen-rich,non-habitable,11.68,Cas,71.2,Radial Velocity,2013
HD 134113 b,Hot,Jovian,hydrogen-rich,non-habitable,9.41,Boo,71.9,Radial Velocity,2016
HD 126614 b,Cold,Jovian,hydrogen-rich,non-habitable,8.22,Vir,72.4,Radial Velocity,2010
HD 35759 b,Hot,Jovian,hydrogen-rich,non-habitable,11.64,Cam,72.5,Radial Velocity,2016
HD 86264 b,Warm,Jovian,hydrogen-rich,non-habitable,11.67,Hya,72.6,Radial Velocity,2009
HD 72892 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Hya,72.78,Radial Velocity,2016
Kepler-1308 b,Hot,Subterran,no-atmosphere,non-habitable,0.52,Lyr,73,Transit,2016
18 Del b,Hot,Jovian,hydrogen-rich,non-habitable,11.55,Del,73.1,Radial Velocity,2008
HD 88133 b,Hot,Jovian,metals-rich,non-habitable,11.2,Leo,74.5,Radial Velocity,2004
24 Sex b,Hot,Jovian,hydrogen-rich,non-habitable,11.25,Sex,74.8,Radial Velocity,2010
24 Sex c,Hot,Jovian,hydrogen-rich,non-habitable,9.99,Sex,74.8,Radial Velocity,2010
Kepler-504 b,Hot,Superterran,metals-rich,non-habitable,1.59,Lyr,75,Transit,2016
HD 155233 b,Hot,Jovian,hydrogen-rich,non-habitable,11.48,Oph,75.1,Radial Velocity,2015
14 And b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,And,76.4,Radial Velocity,2008
HD 4203 b,Warm,Jovian,hydrogen-rich,non-habitable,11.16,Psc,77.5,Radial Velocity,2001
HD 4203 c,Cold,Jovian,hydrogen-rich,non-habitable,11.34,Psc,77.5,Radial Velocity,2014
HD 224538 b,Warm,Jovian,hydrogen-rich,non-habitable,11.68,Tuc,77.76,Radial Velocity,2016
HD 68402 b,Cold,Jovian,hydrogen-rich,non-habitable,11.57,Vol,78,Radial Velocity,2016
K2-65 b,Hot,Superterran,metals-rich,non-habitable,1.58,Aqr,78.06,Transit,2016
HD 17156 b,Hot,Jovian,hydrogen-rich,non-habitable,12.26,Cas,78.24,Primary Transit,2007
4 Uma b,Hot,Jovian,hydrogen-rich,non-habitable,11.67,UMa,78.5,Radial Velocity,2007
HD 149026 b,Hot,Jovian,metals-rich,non-habitable,8.04,Her,78.9,Primary Transit,2005
HD 9174 b,Warm,Jovian,hydrogen-rich,non-habitable,10.45,Cet,78.93,Radial Velocity,2016
HD 47366 b,Hot,Jovian,hydrogen-rich,non-habitable,11.11,CMa,80,Radial Velocity,2016
HD 47366 c,Hot,Jovian,hydrogen-rich,non-habitable,11.18,CMa,80,Radial Velocity,2016
WASP-29 b,Hot,Jovian,metals-rich,non-habitable,9.42,Phe,80,Primary Transit,2010
HD 75898 b,Hot,Jovian,hydrogen-rich,non-habitable,11.45,Lyn,80.58,Radial Velocity,2007
ome Ser b,Hot,Jovian,hydrogen-rich,non-habitable,11.08,Ser,80.6,Radial Velocity,2013
HIP 105854 b,Hot,Jovian,hydrogen-rich,non-habitable,11.64,Mic,80.84,Radial Velocity,2014
HD 66141 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,CMi,80.9,Radial Velocity,2012
Kepler-1646 b,Hot,Terran,metals-rich,non-habitable,1.23,Lyr,81,Transit,2016
HD 219828 b,Hot,Neptunian,metals-rich,non-habitable,4.73,Peg,81.1,Radial Velocity,2007
HD 219828 c,Cold,Jovian,hydrogen-rich,non-habitable,11.27,Peg,81.1,Radial Velocity,2016
75 Cet b,Hot,Jovian,hydrogen-rich,non-habitable,11.56,Cet,81.5,Radial Velocity,2012
HAT-P-22 b,Hot,Jovian,hydrogen-rich,non-habitable,12.1,UMa,82,Primary Transit,2010
HD 222076 b,Hot,Jovian,hydrogen-rich,non-habitable,10.97,Tuc,83.5,Radial Velocity,2016
HD 96167 b,Warm,Jovian,hydrogen-rich,non-habitable,9.51,Crt,84,Radial Velocity,2009
omi CrB b,Hot,Jovian,hydrogen-rich,non-habitable,10.92,CrB,84,Radial Velocity,2012
HD 1605 b,Hot,Jovian,hydrogen-rich,non-habitable,10.19,And,84.6,Radial Velocity,2015
HD 1605 c,Warm,Jovian,hydrogen-rich,non-habitable,11.62,And,84.6,Radial Velocity,2015
HD 106270 b,Cold,Jovian,hydrogen-rich,non-habitable,11.52,Vir,84.9,Radial Velocity,2011
HD 152079 b,Cold,Jovian,hydrogen-rich,non-habitable,11.56,Ara,85.17,Radial Velocity,2010
HD 33283 b,Hot,Jovian,metals-rich,non-habitable,11.09,Lep,86,Radial Velocity,2006
XO-6 b,Hot,Jovian,metals-rich,non-habitable,23.18,Cam,86,Primary Transit,2016
WASP-8 b,Hot,Jovian,hydrogen-rich,non-habitable,11.63,Scl,87,Primary Transit,2008
HD 48265 b,Warm,Jovian,hydrogen-rich,non-habitable,10.53,Pup,87.4,Radial Velocity,2008
HIP 68468 b,Hot,Terran,metals-rich,non-habitable,1.5,Cen,87.8,Radial Velocity,2016
HIP 68468 c,Hot,Neptunian,metals-rich,non-habitable,5.32,Cen,87.8,Radial Velocity,2016
Kepler-560 b,Hot,Superterran,metals-rich,non-habitable,1.71,Cyg,88,Transit,2016
HD 81688 b,Hot,Jovian,hydrogen-rich,non-habitable,11.13,UMa,88.26,Radial Velocity,2008
HD 118203 b,Hot,Jovian,hydrogen-rich,non-habitable,11.76,UMa,88.6,Radial Velocity,2005
HD 67087 b,Hot,Jovian,hydrogen-rich,non-habitable,11.57,Gem,88.8,Radial Velocity,2015
HD 67087 c,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Gem,88.8,Radial Velocity,2015
HD 23127 b,Warm,Jovian,hydrogen-rich,non-habitable,10.92,Ret,89.1,Radial Velocity,2007
HD 2039 b,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Phe,89.8,Radial Velocity,2002
HAT-P-17 b,Hot,Jovian,hydrogen-rich,non-habitable,11.31,Cyg,90,Primary Transit,2010
HAT-P-17 c,Cold,Jovian,hydrogen-rich,non-habitable,10.82,Cyg,90,Radial Velocity,2010
HD 110014 b,Hot,Jovian,hydrogen-rich,non-habitable,11.53,Vir,90,Radial Velocity,2009
HD 110014 c,Hot,Jovian,hydrogen-rich,non-habitable,11.58,Vir,90,Radial Velocity,2015
HD 171028 b,Hot,Jovian,hydrogen-rich,non-habitable,11.25,Oph,90,Radial Velocity,2007
Kepler-445 b,Hot,Superterran,metals-rich,non-habitable,1.58,Cyg,90,Primary Transit,2015
Kepler-445 c,Hot,Superterran,metals-rich,non-habitable,2.51,Cyg,90,Primary Transit,2015
Kepler-445 d,Hot,Terran,metals-rich,non-habitable,1.25,Cyg,90,Primary Transit,2015
WASP-10 b,Hot,Jovian,hydrogen-rich,non-habitable,12.1,Peg,90,Primary Transit,2008
HD 205739 b,Hot,Jovian,hydrogen-rich,non-habitable,10.79,PsA,90.3,Radial Velocity,2008
HD 95086 b,Cold,Jovian,hydrogen-rich,non-habitable,11.67,Car,90.4,Imaging,2013
HD 86081 b,Hot,Jovian,hydrogen-rich,non-habitable,12.1,Sex,91,Radial Velocity,2006
HIP 74890 b,Hot,Jovian,hydrogen-rich,non-habitable,11.42,Lup,91.6,Radial Velocity,2016
HD 106906 b,Cold,Jovian,hydrogen-rich,non-habitable,11.52,Cen,92,Imaging,2013
HD 160508 b,Hot,Jovian,hydrogen-rich,non-habitable,9.37,Her,92.3,Radial Velocity,2016
HR 3549 b,Cold,Jovian,hydrogen-rich,non-habitable,9.5,Car,92.5,Imaging,2015
beta Cnc b,Hot,Jovian,hydrogen-rich,non-habitable,11.65,Cnc,92.99,Radial Velocity,2014
K2-26 b,Hot,Neptunian,metals-rich,non-habitable,2.67,Gem,93,Transit,2016
HD 43691 b,Hot,Jovian,hydrogen-rich,non-habitable,11.45,Aur,93.2,Radial Velocity,2007
HD 224693 b,Hot,Jovian,hydrogen-rich,non-habitable,9.6,Cet,94,Radial Velocity,2006
HD 39392 b,Hot,Jovian,hydrogen-rich,non-habitable,11.39,Ori,94.2,Radial Velocity,2016
EPIC 22881391 b,Hot,Terran,hydrogen-rich,non-habitable,0.88,Vir,95,Primary Transit,2017
HD 132563 B b,Cold,Jovian,hydrogen-rich,non-habitable,10.91,Boo,96,Radial Velocity,2011
HD 59686 A b,Hot,Jovian,hydrogen-rich,non-habitable,11.67,Gem,96.8,Radial Velocity,2003
HD 73534 b,Warm,Jovian,hydrogen-rich,non-habitable,10.51,Cnc,96.99,Radial Velocity,2009
81 Cet b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Cet,97.2,Radial Velocity,2008
42 Dra b,Hot,Jovian,hydrogen-rich,non-habitable,11.65,Dra,97.3,Radial Velocity,2009
HD 120084 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,UMi,97.7,Radial Velocity,2013
KELT-11 b,Hot,Jovian,metals-rich,non-habitable,15.34,Sex,98,Primary Transit,2016
HD 136418 b,Hot,Jovian,hydrogen-rich,non-habitable,11.26,Boo,98.2,Radial Velocity,2010
tau Gem b,Hot,Jovian,hydrogen-rich,non-habitable,10.9,Gem,98.4,Radial Velocity,2004
HD 73526 b,Hot,Jovian,hydrogen-rich,non-habitable,11.37,Vel,99,Radial Velocity,2002
HD 73526 c,Hot,Jovian,hydrogen-rich,non-habitable,11.37,Vel,99,Radial Velocity,2006
HD 38801 b,Warm,Jovian,hydrogen-rich,non-habitable,11.53,Ori,99.4,Radial Velocity,2010
HD 5319 b,Hot,Jovian,hydrogen-rich,non-habitable,11.23,Cet,100,Radial Velocity,2007
HD 5319 c,Warm,Jovian,hydrogen-rich,non-habitable,10.51,Cet,100,Radial Velocity,2016
WASP-18 b,Hot,Jovian,hydrogen-rich,non-habitable,13.05,Phe,100,Primary Transit,2009
HD 33844 b,Hot,Jovian,hydrogen-rich,non-habitable,11.24,Lep,100.9,Radial Velocity,2013
HD 33844 c,Hot,Jovian,hydrogen-rich,non-habitable,11.11,Lep,100.9,Radial Velocity,2015
HD 104985 b,Hot,Jovian,hydrogen-rich,non-habitable,11.64,Cam,102,Radial Velocity,2003
HD 190984 b,Cold,Jovian,hydrogen-rich,non-habitable,11.58,Pav,103,Radial Velocity,2009
HD 1160 b,Cold,Jovian,,non-habitable,,Psc,103.5,Imaging,2012
HD 158038 b,Hot,Jovian,hydrogen-rich,non-habitable,11.15,Her,103.6,Radial Velocity,2011
HD 147873 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Sco,104.93,Radial Velocity,2016
HD 147873 c,Hot,Jovian,hydrogen-rich,non-habitable,11.39,Sco,104.93,Radial Velocity,2016
HIP 107773 b,Hot,Jovian,hydrogen-rich,non-habitable,11.25,Ind,106,Radial Velocity,2015
HIP 97233 b,Hot,Jovian,hydrogen-rich,non-habitable,10.94,Aql,106.5,Radial Velocity,2014
HD 106315 b,Hot,Superterran,metals-rich,non-habitable,2.44,Vir,107.3,Primary Transit,2017
HD 106315 c,Hot,Neptunian,metals-rich,non-habitable,3.94,Vir,107.3,Primary Transit,2017
Kepler-21 b,Hot,Superterran,metals-rich,non-habitable,1.64,Lyr,108,Primary Transit,2011
HD 284149 b,Cold,Jovian,hydrogen-rich,non-habitable,10.18,Tau,108.2,Imaging,2014
sig Per b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Per,108.3,Radial Velocity,2014
HD 231701 b,Hot,Jovian,hydrogen-rich,non-habitable,10.41,Sge,108.4,Radial Velocity,2007
HD 17092 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Per,109,Radial Velocity,2007
HD 142245 b,Hot,Jovian,hydrogen-rich,non-habitable,11.21,Ser,109.5,Radial Velocity,2011
HD 131496 b,Hot,Jovian,hydrogen-rich,non-habitable,11.35,Boo,110,Radial Velocity,2011
HD 180902 b,Hot,Jovian,hydrogen-rich,non-habitable,11,Sgr,110,Radial Velocity,2010
K2-9 b,Warm,Superterran,hydrogen-rich,thermoplanet,2.25,Vir,110,Transit,2016
WASP-38 b,Hot,Jovian,hydrogen-rich,non-habitable,12.08,Her,110,Primary Transit,2010
11 Com b,Hot,Jovian,hydrogen-rich,non-habitable,10.98,Com,110.6,Radial Velocity,2008
HD 1666 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Cet,110.6,Radial Velocity,2015
HD 181342 b,Hot,Jovian,hydrogen-rich,non-habitable,11.54,Sgr,110.6,Radial Velocity,2010
Kepler-1582 b,Hot,Terran,metals-rich,non-habitable,1.49,Lyr,112,Transit,2016
HIP 67537 b,Warm,Jovian,hydrogen-rich,non-habitable,11.51,Cen,112.6,Radial Velocity,2016
Kepler-1319 b,Hot,Terran,metals-rich,non-habitable,1.34,Cyg,114,Transit,2016
HIP 74865 b,Cold,Jovian,hydrogen-rich,non-habitable,10.42,Lup,115,Imaging,2015
HD 2952 b,Hot,Jovian,hydrogen-rich,non-habitable,11,Cas,115.2,Radial Velocity,2013
HIP 41378 b,Hot,Neptunian,metals-rich,non-habitable,2.91,Cnc,116,Primary Transit,2016
HIP 41378 c,Hot,Neptunian,metals-rich,non-habitable,2.55,Cnc,116,Primary Transit,2016
HIP 41378 d,Hot,Neptunian,metals-rich,non-habitable,3.95,Cnc,116,Primary Transit,2016
HIP 41378 e,Hot,Neptunian,metals-rich,non-habitable,5.51,Cnc,116,Primary Transit,2016
HIP 41378 f,Hot,Jovian,hydrogen-rich,non-habitable,10.19,Cnc,116,Primary Transit,2016
WASP-33 b,Hot,Jovian,metals-rich,non-habitable,17.95,And,116,Primary Transit,2010
Kepler-1319 A b,Hot,Terran,metals-rich,non-habitable,1.41,Cyg,116.3,Primary Transit,2016
HD169142 b,Cold,Jovian,hydrogen-rich,non-habitable,10.3,Sgr,117,Imaging,2014
HD 32518 b,Hot,Jovian,hydrogen-rich,non-habitable,11.57,Cam,117.4,Radial Velocity,2009
HAT-P-2 b,Hot,Jovian,hydrogen-rich,non-habitable,10.65,Her,118,Primary Transit,2007
K2-110 b,Hot,Neptunian,metals-rich,non-habitable,2.59,Vir,118,Primary Transit,2017
HD 30856 b,Hot,Jovian,hydrogen-rich,non-habitable,11.15,Eri,118.1,Radial Velocity,2011
11 UMi b,Hot,Jovian,hydrogen-rich,non-habitable,11.54,UMi,119.5,Radial Velocity,2009
Kepler-446 b,Hot,Terran,metals-rich,non-habitable,1.5,Lyr,120,Primary Transit,2015
Kepler-446 c,Hot,Terran,metals-rich,non-habitable,1.1,Lyr,120,Primary Transit,2015
Kepler-446 d,Hot,Terran,metals-rich,non-habitable,1.34,Lyr,120,Primary Transit,2015
ROXs 12 b,Cold,Jovian,hydrogen-rich,non-habitable,11.21,Oph,120,Imaging,2013
WASP-34 b,Hot,Jovian,metals-rich,non-habitable,13.66,Crt,120,Primary Transit,2010
WASP-74 b,Hot,Jovian,metals-rich,non-habitable,17.47,Aql,120,Primary Transit,2014
WASP-76 b,Hot,Jovian,metals-rich,non-habitable,20.5,Psc,120,Primary Transit,2013
WASP-84 b,Hot,Jovian,hydrogen-rich,non-habitable,10.55,Hya,120,Primary Transit,2013
WASP-132 b,Hot,Jovian,metals-rich,non-habitable,9.74,Lup,120,Primary Transit,2016
Kepler-1650 b,Hot,Subterran,no-atmosphere,non-habitable,0.75,Cyg,120.5,Primary Transit,2017
Kepler-974 b,Hot,Superterran,metals-rich,non-habitable,1.57,Lyr,121,Transit,2016
HD 47536 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,CMa,121.36,Radial Velocity,2003
HD 139357 b,Hot,Jovian,hydrogen-rich,non-habitable,11.58,Dra,121.4,Radial Velocity,2009
HD 100655 b,Hot,Jovian,hydrogen-rich,non-habitable,11.08,Leo,122,Radial Velocity,2011
HD 163296 b,Cold,Jovian,hydrogen-rich,non-habitable,7.69,Sgr,122,Other,2016
HD 163296 c,Cold,Jovian,hydrogen-rich,non-habitable,7.69,Sgr,122,Other,2016
HD 116029 b,Hot,Jovian,hydrogen-rich,non-habitable,11.31,Com,123.2,Radial Velocity,2011
HD 82886 b,Hot,Jovian,hydrogen-rich,non-habitable,10.71,LMi,125,Radial Velocity,2011
HIP 73990 b,Cold,Jovian,hydrogen-rich,non-habitable,10.87,Lib,125,Imaging,2015
HIP 73990 c,Cold,Jovian,hydrogen-rich,non-habitable,10.81,Lib,125,Imaging,2015
SR 12 AB c,Cold,Jovian,hydrogen-rich,non-habitable,11.4,Oph,125,Imaging,2011
WASP-11-HAT-P-10 b,Hot,Jovian,metals-rich,non-habitable,11.7,Ari,125,Primary Transit,2008
WASP-59 b,Hot,Jovian,hydrogen-rich,non-habitable,10.08,Peg,125,Primary Transit,2011
HD 33142 b,Hot,Jovian,hydrogen-rich,non-habitable,10.71,Lep,126,Radial Velocity,2011
HD 102956 b,Hot,Jovian,metals-rich,non-habitable,10.19,UMa,126,Radial Velocity,2010
HD 145457 b,Hot,Jovian,hydrogen-rich,non-habitable,11.54,CrB,126,Radial Velocity,2010
Kepler-568 b,Hot,Superterran,metals-rich,non-habitable,2.26,Cyg,126,Transit,2016
HII 1348 b,Cold,Jovian,hydrogen-rich,non-habitable,8.92,Tau,127,Imaging,2012
HD 175541 b,Hot,Jovian,hydrogen-rich,non-habitable,9.28,Ser,128,Radial Velocity,2007
KELT-2 A b,Hot,Jovian,hydrogen-rich,non-habitable,14.63,Aur,128.9,Primary Transit,2012
HD 99706 b,Hot,Jovian,hydrogen-rich,non-habitable,10.82,UMa,129,Radial Velocity,2011
KELT-7 b,Hot,Jovian,metals-rich,non-habitable,17.17,Aur,129,Primary Transit,2015
Kepler-1049 b,Hot,Terran,no-atmosphere,non-habitable,0.95,Cyg,129,Transit,2016
HAT-P-3 b,Hot,Jovian,metals-rich,non-habitable,9.26,UMa,130,Primary Transit,2007
HD 212771 b,Hot,Jovian,hydrogen-rich,non-habitable,11.39,Aqr,131,Radial Velocity,2010
V830 Tau b,Hot,Jovian,hydrogen-rich,non-habitable,9.77,Tau,131,Radial Velocity,2016
HD 180314 b,Hot,Jovian,hydrogen-rich,non-habitable,10.81,Lyr,132,Radial Velocity,2010
Kepler-410 A b,Hot,Neptunian,metals-rich,non-habitable,2.84,Lyr,132,Primary Transit,2013
1SWASP J1407 b,Cold,Jovian,hydrogen-rich,non-habitable,10.94,Cen,133,Primary Transit,2012
HAT-P-26 b,Hot,Neptunian,metals-rich,non-habitable,6.32,Vir,134,Primary Transit,2010
HD 98219 b,Hot,Jovian,hydrogen-rich,non-habitable,11.15,Crt,134,Radial Velocity,2011
K2-17 b,Hot,Superterran,metals-rich,non-habitable,2.23,Vir,134,Transit,2016
HD 18742 b,Hot,Jovian,hydrogen-rich,non-habitable,11.5,Eri,135,Radial Velocity,2011
HD 173416 b,Hot,Jovian,hydrogen-rich,non-habitable,11.5,Lyr,135,Radial Velocity,2009
HIP 63242 b,Hot,Jovian,hydrogen-rich,non-habitable,11.61,Mus,135,Radial Velocity,2013
Kepler-68 b,Hot,Superterran,metals-rich,non-habitable,2.31,Cyg,135,Primary Transit,2013
Kepler-68 c,Hot,Terran,no-atmosphere,non-habitable,0.93,Cyg,135,Primary Transit,2013
Kepler-68 d,Warm,Jovian,hydrogen-rich,non-habitable,9.94,Cyg,135,Radial Velocity,2013
ROXs 42B b,Cold,Jovian,hydrogen-rich,non-habitable,28,Oph,135,Imaging,2013
HAT-P-54 b,Hot,Jovian,hydrogen-rich,non-habitable,10.57,Gem,135.8,Primary Transit,2014
HIP 65891 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Cen,136,Radial Velocity,2015
HD 4313 b,Hot,Jovian,hydrogen-rich,non-habitable,11.39,Psc,137,Radial Velocity,2010
FL Lyr b,Cold,Jovian,hydrogen-rich,non-habitable,11.61,Lyr,138,Pulsar,2015
HAT-P-1 b,Hot,Jovian,metals-rich,non-habitable,14.77,Lac,139,Primary Transit,2006
HD 95089 b,Hot,Jovian,hydrogen-rich,non-habitable,10.58,Leo,139,Radial Velocity,2010
HD 108863 b,Hot,Jovian,hydrogen-rich,non-habitable,11.48,Com,139,Radial Velocity,2011
2M 0441+23 b,Cold,Jovian,hydrogen-rich,non-habitable,11.66,Tau,140,Imaging,2010
AS 205 A b,Hot,Jovian,hydrogen-rich,non-habitable,10.99,Sco,140,Radial Velocity,2017
FU Tau b,Cold,Jovian,hydrogen-rich,non-habitable,11.28,Tau,140,Imaging,2009
GQ Lup b,Cold,Jovian,hydrogen-rich,non-habitable,20.16,Lup,140,Imaging,2005
WASP-7 b,Hot,Jovian,metals-rich,non-habitable,14.9,Mic,140,Primary Transit,2008
WASP-52 b,Hot,Jovian,metals-rich,non-habitable,14.22,Peg,140,Primary Transit,2011
HAT-P-12 b,Hot,Jovian,metals-rich,non-habitable,10.69,CVn,142.5,Primary Transit,2009
HD 240210 b,Hot,Jovian,hydrogen-rich,non-habitable,11.67,Cas,143,Radial Velocity,2009
WASP-104 b,Hot,Jovian,hydrogen-rich,non-habitable,12.73,Leo,143,Primary Transit,2014
WASP-2 b,Hot,Jovian,metals-rich,non-habitable,12.08,Del,144,Primary Transit,2006
1RXS 1609 b,Cold,Jovian,hydrogen-rich,non-habitable,19.04,Sco,145,Imaging,2008
11 Oph b,Cold,Jovian,hydrogen-rich,non-habitable,10.87,Sco,145,Imaging,2007
FW Tau b,Cold,Jovian,hydrogen-rich,non-habitable,11.57,Tau,145,Imaging,2013
GSC 6214-210 b,Cold,Jovian,hydrogen-rich,non-habitable,11.14,Sco,145,Imaging,2010
K2-33 b,Hot,Neptunian,hydrogen-rich,non-habitable,5.04,Sco,145,Transit,2016
Kepler-438 b,Warm,Terran,metals-rich,mesoplanet,1.12,Lyr,145,transit,2015
LKCA 15 b,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Tau,145,Imaging,2011
UScoCTIO 108 b,Cold,Jovian,hydrogen-rich,non-habitable,11.34,Sco,145,Imaging,2007
HATS-6 b,Hot,Jovian,metals-rich,non-habitable,11.18,Lep,148.4,Primary Transit,2014
XO-2N b,Hot,Jovian,metals-rich,non-habitable,10.9,Lyn,149,Primary Transit,2007
XO-2S b,Hot,Jovian,metals-rich,non-habitable,7.36,Lyn,149,Radial Velocity,2014
XO-2S c,Hot,Jovian,hydrogen-rich,non-habitable,10.79,Lyn,149,Radial Velocity,2014
CoRoT-7 b,Hot,Terran,metals-rich,non-habitable,1.52,Mon,150,Primary Transit,2009
CoRoT-7 c,Hot,Neptunian,metals-rich,non-habitable,4.08,Mon,150,Radial Velocity,2009
Kepler-617 b,Hot,Terran,metals-rich,non-habitable,1.32,Lyr,150,Transit,2016
Kepler-732 b,Hot,Superterran,metals-rich,non-habitable,2.17,Lyr,150,Transit,2016
Kepler-732 c,Hot,Terran,metals-rich,non-habitable,1.27,Lyr,150,Transit,2016
EPIC 218916923 b,Hot,Jovian,hydrogen-rich,non-habitable,9.09,Sgr,152,Primary Transit,2017
BD+20 594 b,Hot,Superterran,metals-rich,non-habitable,2.23,Tau,152.1,Primary Transit,2016
WASP-13 b,Hot,Jovian,metals-rich,non-habitable,15.29,Lyn,156,Primary Transit,2008
HIP 78530 b,Cold,Jovian,hydrogen-rich,non-habitable,10.74,Sco,156.7,Imaging,2011
TrES-1b,Hot,Jovian,metals-rich,non-habitable,12.31,Lyr,157,Primary Transit,2004
HD 96063 b,Hot,Jovian,hydrogen-rich,non-habitable,10.07,Leo,158,Radial Velocity,2011
HD 102329 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Vir,158,Radial Velocity,2011
HD 12648 b,Hot,Jovian,hydrogen-rich,non-habitable,11.54,Cep,158.4,Radial Velocity,2015
HD 1502 b,Hot,Jovian,hydrogen-rich,non-habitable,11.58,Psc,159,Radial Velocity,2011
8 Umi b,Hot,Jovian,hydrogen-rich,non-habitable,10.92,UMi,159.1,Radial Velocity,2015
WASP-14 b,Hot,Jovian,hydrogen-rich,non-habitable,14.35,Boo,160,Primary Transit,2008
WASP-62 b,Hot,Jovian,metals-rich,non-habitable,15.57,Dor,160,Primary Transit,2011
Kepler-1446 b,Hot,Subterran,no-atmosphere,non-habitable,0.82,Cyg,162,Transit,2016
Kepler-1512 b,Hot,Terran,metals-rich,non-habitable,1.18,Cyg,162,Transit,2016
HD 14067 b,Hot,Jovian,hydrogen-rich,non-habitable,11.65,Ari,163.4,Radial Velocity,2014
WASP-136 b,Hot,Jovian,hydrogen-rich,non-habitable,15.46,Cet,164,Primary Transit,2016
CT Cha b,Cold,Jovian,hydrogen-rich,non-habitable,24.64,Cha,165,Imaging,2008
Kepler-538 b,Hot,Superterran,metals-rich,non-habitable,2.26,Cyg,165,Transit,2016
HAT-P-18 b,Hot,Jovian,metals-rich,non-habitable,10.61,Her,166,Primary Transit,2010
HD 86950 b,Hot,Jovian,hydrogen-rich,non-habitable,11.63,Hya,169,Radial Velocity,2016
